Folder no.,Project no.,Project name,Batch no.,Comment,Sample taken,Grid reference,Flow rate (litres/sec),Weather conditions,BOD 5 Day ATU (mg/l),Nitrogen : Total as N (mg/l),Phosphorus : Total as P (mg/l),Alkalinity to pH 4.5 as CaCO3 (mg/l),Ammoniacal Nitrogen as N (mg/l),Chloride (mg/l),Nitrite as N (mg/l),Nitrogen : Total Oxidised as N (mg/l),"Orthophosphate, reactive as P (mg/l)","Silicate, reactive as SiO2 (mg/l)",Phosphate : Total as P (mg/l),Conductivity at 20C (uS/cm),Turbidity (NTU),"Solids, Suspended at 105 C (mg/l)",Calcium (mg/l),Magnesium (mg/l),Potassium (mg/l),Sodium (mg/l)
003557643,22132033,12447 Shropshire Mere inflows monitoring,20095420,Crose Mere Silt Trap Outflow,23-JUN-16  09:45,SJ4285 3038,0.5,Dry few days after heavy rain last week,3.37,5.88,0.296,230,2.21,43.2,0.339,1.48,0.167,5.06,0.24,580,17,19.8,,,,
003557644,22132033,12447 Shropshire Mere inflows monitoring,20095420,Sweat Mere Inflow Hulme Field Drain,23-JUN-16  10:15,SJ4367 3040,5,Dry few days after heavy rain last week,<1.00,11.3,0.0905,241,0.207,30.5,0.0197,9.92,0.055,8.69,0.078,650,3.9,5.15,,,,
003557645,22132033,12447 Shropshire Mere inflows monitoring,20095420,White Mere Silt Trap Inflow,23-JUN-16  11:00,SJ4169 3306,0.0138,Dry few days after heavy rain last week,<1.00,6.99,0.0468,217,0.056,47.6,0.0162,6.2,0.028,11,0.0387,568,9,12,,,,
003557646,22132033,12447 Shropshire Mere inflows monitoring,20095420,Clarepool Moss Near Diver 2,23-JUN-16  15:40,SJ4347 3409,n/a,Dry few days after heavy rain last week,18.8,8.89,2.75,16,2,22,<0.00400,<0.200,1.85,3.31,2.57,96,12.2,45.8,,,,
003557647,22132033,12447 Shropshire Mere inflows monitoring,20095420,Marton Pool Inflow Dale Ditch,23-JUN-16  09:10,SJ2963 0287,19.68,Dry few days after heavy rain last week,<1.00,0.69,0.0376,268,0.289,42.2,0.0145,<0.200,0.029,13.2,0.0369,665,4.7,6.55,,,,
003557648,22132033,12447 Shropshire Mere inflows monitoring,20095420,Marton Pool Inflow Road Drain,23-JUN-16  09:30,SJ2935 0281,3,Dry few days after heavy rain last week,1.12,16.3,0.267,213,1.01,42.3,0.0289,14.9,0.201,10.7,0.236,636,5.9,8.8,,,,
003557649,22132033,12447 Shropshire Mere inflows monitoring,20095420,Marton Pool Inflow Lowerfield Brook,23-JUN-16  09:45,SJ2948 0292,17.49,Dry few days after heavy rain last week,<1.00,4.52,0.0491,138,0.03,20.2,0.0057,4.19,0.038,9.79,0.043,366,3.9,7.97,,,,
003557650,22132033,12447 Shropshire Mere inflows monitoring,20096447,White Mere Spun Hill Drain Silt Trap Outflow,14-JUL-16  09:00,SJ41638 33172,0.13,Fine and dry,1.58,6.84,0.141,212,0.194,19,0.13,3.77,0.021,6.51,0.0496,440,3.2,3.87,83.4,9.77,4.01,6.84
003557651,22132033,12447 Shropshire Mere inflows monitoring,20096447,White Mere Silt Trap Inflow,14-JUL-16  09:40,SJ4169 3306,0.01,Fine and dry,1.13,6.29,0.0631,239,0.082,67.4,0.0361,5.54,0.038,11.3,0.0586,645,8.1,10.4,95.3,8.12,1.56,42.8
003557652,22132033,12447 Shropshire Mere inflows monitoring,20096447,White Mere Road Drain Outfall in Griffiths field,14-JUL-16  15:30,SJ41731 32978,0.002,Fine and dry,2.53,1.98,0.303,209,0.05,25,0.0107,0.76,0.046,10.6,0.224,421,21,37.6,75.7,7.38,4.64,13.1
003557653,22132033,12447 Shropshire Mere inflows monitoring,20096447,White Mere Inflow Griffiths Field Drain,14-JUL-16  16:05,SJ4170 3274,0.01,Fine and dry,<1.00,0.82,0.0355,298,0.033,47.2,<0.00400,0.41,<0.0100,7.68,0.0381,721,14.6,10.5,126,21.1,2.47,15.7
